Numero,Prompt,Longueur,Complexite,Theme
1,Est-ce que le Soleil est une étoile ?,moyen,1,science
2,Est-ce que la Terre est plate ?,court,1,science
3,Est-ce que l’eau bout à 100°C ?,court,1,science
4,Est-ce que la Lune émet de la lumière ?,moyen,2,science
5,Est-ce que Napoléon a été empereur des Français ?,moyen,2,histoire
6,Est-ce que la Seconde Guerre mondiale s’est terminée en 1945 ?,moyen,1,histoire
7,Est-ce que Beethoven était un peintre ?,court,2,art
8,Est-ce que “La Joconde” est un tableau de Léonard de Vinci ?,moyen,2,art
9,Est-ce que Socrate a écrit des livres ?,moyen,3,philosophie
10,Est-ce que “Cogito ergo sum” est une citation de Descartes ?,moyen,2,philosophie
11,Est-ce que l’iPhone est sorti avant l’an 2000 ?,moyen,2,technologie
12,Est-ce que l’électricité a été maîtrisée au 19ème siècle ?,long,3,science
13,Est-ce que le cerveau humain possède environ 100 milliards de neurones ?,long,3,psychologie
14,Est-ce que le QI moyen est par définition 100 ?,moyen,2,psychologie
15,Est-ce que le marathon fait environ 42 km ?,moyen,2,sport
16,Est-ce que le football se joue à 11 joueurs ?,court,1,sport
17,Est-ce que la tomate est un fruit ?,court,1,gastronomie
18,Est-ce que le sushi est un plat d’origine japonaise ?,court,1,gastronomie
19,Est-ce que les baleines sont des mammifères ?,court,1,nature
20,Est-ce que certaines plantes sont carnivores ?,court,1,nature
21,Est-ce que l’homme a déjà marché sur Mars ?,court,1,futurisme
22,Est-ce que l’intelligence artificielle surpassera un jour l’intelligence humaine ?,long,4,futurisme
23,Est-ce que la majorité légale est à 18 ans en France ?,court,1,société
24,Est-ce que le vote est obligatoire en France ?,court,2,société
25,Est-ce que l’ADN se trouve dans le noyau des cellules ?,moyen,2,science
26,Est-ce que les dinosaures et les humains ont vécu à la même époque ?,long,1,science
27,Est-ce que la vitesse du son est plus rapide que celle de la lumière ?,long,1,science
28,Est-ce que l’eau de mer est potable ?,court,1,nature
29,Est-ce que la peine de mort est abolie en France ?,court,2,société
30,Est-ce que Pluton est toujours considéré comme une planète ?,court,2,science
